Timestamp,Trip Meter,Distance,Fuel Used,Avg Speed,Duration
cd /home/shubmira/Devops/Simulate

Timestamp,Trip Meter,Distance,Fuel Used,Avg Speed,Duration
2025-11-10 08:12:03,Trip B,118.5,8.60,47.2,130
2025-11-10 09:15:40,Trip B,121.0,8.40,48.5,149
2025-11-10 10:20:11,Trip B,119.8,8.55,46.9,151
2025-11-10 11:05:22,Trip B,120.3,8.50,48.1,150
2025-11-10 12:49:02,Trip B,117.9,8.70,47.0,153
2025-11-10 14:03:30,Trip B,120.6,8.45,49.2,148
2025-11-10 15:20:33,Trip B,119.5,8.52,47.8,150
2025-11-10 16:41:10,Trip B,118.9,8.63,46.7,152
2025-11-10 18:02:55,Trip B,120.1,8.48,48.6,149
2025-11-10 19:25:09,Trip B,119.2,8.57,47.5,151
CSV
